id,link,position,heuristic,human,raw_data
7014715,https://zbmath.org/?q=an%3A05669080,63,false,false,"Bornyakov, V. G.; Ilgenfritz, E. M.; Martemyanov, B. V.; Morozov, S. M.; Muller-Preussker, M.; Veselov, A. I.: Phys. rev. D, Phys. rev. D 76, 054505 (2007)"
4074209,https://zbmath.org/?q=an%3A06048469,10,false,false,"Bennett, C.H., Wiesner, S.J.: Phys. Rev. Lett. 69, 2881 (1992)"
112762,https://zbmath.org/?q=an%3A03298971,2,false,false,"Karlin, S., Total Positivity. Monograph to appear."
1913957,https://zbmath.org/?q=an%3A03873223,3,false,false,"Eggleston, H.G.: Convexity. Cambridge, England: University Press 1963"
4074210,https://zbmath.org/?q=an%3A06048469,11,false,false,"Murao, M., Jonathan, D., Plenio, M.B., Vedral, V.: Phys. Rev. A 59, 156 (1999)"
7014716,https://zbmath.org/?q=an%3A05669080,64,false,false,"N. Iqbal, H.B. Meyer, hep-lat/0909.0582."
7311277,https://zbmath.org/?q=an%3A06185145,2,false,false,"Zhu, T.; Zhang, J. -D.; Atluri, S. N.: A meshless local boundary integral equation (LBIE) method for solving nonlinear problems, Computational mechanics 22, 174-186 (1998)"
1913982,https://zbmath.org/?q=an%3A03874364,4,false,false,"Coppel, W.A.: Disconjugacy, Lecture Notes in Math. 220. Berlin-Heidelberg-New York: Springer 1971"
3304215,https://zbmath.org/?q=an%3A05070703,7,false,false,""
3301954,https://zbmath.org/?q=an%3A05162408,8,false,false,"J. Hempel, 3-Manifolds. Ann. Math. Stud. 86, Princeton Univ. Press, Princeton, New Jersey, Univ. of Tokyo Press, Tokyo (1976)."
5767648,https://zbmath.org/?q=an%3A05573821,33,false,false,"Gerald, C. F.; Wheatley, P. O.: Applied numerical analysis, (1998)"
4849579,https://zbmath.org/?q=an%3A06149259,62,false,false,"Yang J, Leskovec J (2011) Patterns of temporal variation in online media. Paper presented at the proceedings of the fourth ACM international conference on Web search and data mining, Hong Kong, China"
4108252,https://zbmath.org/?q=an%3A06117872,10,false,false,"Frisch U, Bec J (2000) New trends in turbulence. Turbulence: Nouveaux aspects. Ecole d'Ete de Physique Theorique, Les Houches Session 74, France"
747013,https://zbmath.org/?q=an%3A01262520,5,false,false,"A. A. Razborov,On Rigid Matrices [in Russian], Manuscript (1989)."
3304217,https://zbmath.org/?q=an%3A05070703,9,false,false,"Cantor, G.: 1899, Cantor an Dedekind. In Cantor (1962), p. 448."
60337,https://zbmath.org/?q=an%3A00029464,35,false,false,"Billington, E. W.: Non-linear mechanical response of various metals. I. Dynamic and elastic response to simple compression, tension and torsion in the as-received and annealed states. J. Phys. D: Appl. Phys.10, 519-531 (1977)."
3302011,https://zbmath.org/?q=an%3A05162412,2,false,false,"J. S. Bay, Fundamentals of linear state space systems. McGraw-Hill, Boston, MA (1999)."
3304218,https://zbmath.org/?q=an%3A05070703,10,false,false,"Cantor, G.: 1962, Gesammelte Abhandlungen. E. Zermelo Editor, Hildesheim: Georg Olms Verlagsbuchhandlung,."
7025212,https://zbmath.org/?q=an%3A05859995,24,false,false,"Beltrami, I.; Aas, B.; Beer, W.; De Chambrier, G.; Goudsmit, P. F. A.; Ledebur, T. V.; Leisi, H. J.; Ruckstuhl, W.; Sapp, W. W.; Strassner, G.; Vacchi, V.: Nucl. phys. A, Nucl. phys. A 451, 679 (1986)"
959142,https://zbmath.org/?q=an%3A02238075,13,true,true,"Cho, J.: Simulation of relativistic force-free magnetohydrodynamic turbulence (preprint: http://xxx.lanl.gov/abs/astro-ph/0408318). Accepted for publication in Astrophys. J."
959143,https://zbmath.org/?q=an%3A02238075,14,false,false,"Cho, J., Lazarian, A.: Compressible sub-alfvenic MHD turbulence in low-beta plasmas. Astrophys. Phy. Rev. Lett. 88, 245001 (2002a)"
959141,https://zbmath.org/?q=an%3A02238075,12,false,false,"Cho, J.: Simulations on incompressible MHD turbulence. J. Korean Ast. Soc. 34, 275 (2001)"
14937273,https://zbmath.org/?q=an%3A05888053,108,false,false,"Dutta, P.; Horn, P. M.: Rev. modern. Phys.. 53, 497 (1981)"
1384617,https://zbmath.org/?q=an%3A03357660,4,false,false,"KAN, D. M.: On CSS-Complexes. Amer. J. Math.79, 449-476 (1957)."
2433694,https://zbmath.org/?q=an%3A00868037,14,false,false,"Koenig,S. and R.G. Simmons. (1994). How to make reactive planners risk-sensitive. InProceedings of the International Conference on Artificial Intelligence Planning Systems, pages 293-298."
4931089,https://zbmath.org/?q=an%3A06204476,63,false,false,"Y. Hosotani, N. Maru, K. Takenaga and T. Yamashita, Two loop finiteness of Higgs mass and potential in the gauge-Higgs unification, Prog. Theor. Phys. 118 (2007) 1053 [ arXiv:0709.2844 ] [ SPIRES ]."
6960692,https://zbmath.org/?q=an%3A05539809,20,false,false,"Basin, M.; Perez, J.; Martinez-Zuniga, R.: Optimal filtering for nonlinear polynomial systems over linear observations with delay, Internat. J. Innovative comput. Inform. control 2, 863-874 (2006)"
2757401,https://zbmath.org/?q=an%3A05702506,10,false,false,"Carravetta, F. (1995). On the solution of linear stochastic time-varying rational expectations models and its properties. Technical report IASI-CNR, No. 407."
2334587,https://zbmath.org/?q=an%3A01782061,3,false,false,"Kac, G., Palyutkin, V., An example of a ring group generated by Lie groups, Ukrain Math. J., 1964, 16: 99--105."
33071597,https://zbmath.org/?q=an%3A07012055,5,false,false,"Fibonacci, L.: Liber Abbaci (1202) (in Latin)"
6910807,https://zbmath.org/?q=an%3A05757117,10,false,false,"Logan, D. L.: A first course in the finite element method, (2001)"
4931090,https://zbmath.org/?q=an%3A06204476,64,false,false,"K.-y. Oda and A. Weiler, Wilson lines in warped space: dynamical symmetry breaking and restoration, Phys. Lett. B 606 (2005) 408 [ hep-ph/0410061 ] [ SPIRES ]."
2757421,https://zbmath.org/?q=an%3A05702506,30,false,false,"Pesaran M. H. (1989) The limits of rational expectations. Basil Blackwell, Oxford"
7871239,https://zbmath.org/?q=an%3A06280894,58,false,false,"Leon, G., Saridakis, E.N.: J. Cosmol. Astropart. Phys. 11, 006 (2009)"
9104465,https://zbmath.org/?q=an%3A01006615,13,false,false,"JONES, M. C. 1993. Kernel density estimation when the bandwidth is large. Australian J. Statist. 35 319 326. Z."
2757576,https://zbmath.org/?q=an%3A05721672,11,false,false,"Sargent T. J. (1993) Bounded rationality in macroeconomics. Oxford University Press, New York"
33071599,https://zbmath.org/?q=an%3A07012055,7,false,false,"Eulero, L.: Introductio in Analysin Infinitorum. Tomus Primus, Lausannae (1748) (in Latin)"
2834753,https://zbmath.org/?q=an%3A01256273,9,false,false,"R. I. Nigmatulin, Dynamics of Multiphase Media [in Russian], Nauka, Moscow (1987)."
2834860,https://zbmath.org/?q=an%3A00711371,2,false,false,"Bishop, J. (1976). Parametric tolerance regions. Ph.D. Thesis, Dept. of Statistics, University of Toronto, Canada."
4932079,https://zbmath.org/?q=an%3A06204496,35,false,false,"M. Kakizaki, Y. Ogura and F. Shima, Lepton flavor violation in the triplet Higgs model, Phys. Lett. B 566 (2003) 210 [ hep-ph/0304254 ] [ SPIRES ]."
15580508,https://zbmath.org/?q=an%3A01835558,14,false,false,"Read, N.; Saleur, H.: Nucl. phys. B. 613, 409 (2001)"
2834746,https://zbmath.org/?q=an%3A01256273,2,false,false,"A. N. Guz', Principles of the Three-Dimensional Theory of Stability of Deformable Bodies [in Russian], Vishcha Shk., Kiev (1986)."
3999934,https://zbmath.org/?q=an%3A05988235,42,false,false,"Cannas Da Salva, A.: Lectures on Symplectic Geometry. Berlin-Heidelberg-New York: Springer, 2001"
6264320,https://zbmath.org/?q=an%3A05626977,11,false,false,"Chung, J.; Liu, J. W. S.; Lin, K.: Scheduling periodic jobs that allow imprecise results, Institute of electrical and electronics engineers. Transactions on computers 39, No. 9, 1156-1174 (1990)"
4932229,https://zbmath.org/?q=an%3A06204499,8,false,false,"S.S. Gubser, I.R. Klebanov and A.M. Polyakov, Gauge theory correlators from non-critical string theory, Phys. Lett. B 428 (1998) 105 [ hep-th/9802109 ] [ SPIRES ]."
